"","Social","Analytic","Routine","Manual"
"Task","-0.014","0.050**","-0.064***","-0.066***"
"","[0.01]","[0.02]","[0.02]","[0.02]"
"","(-0.04,0.01)","(0.01,0.08)","(-0.09,-0.04)","(-0.10,-0.04)"

"","Social inward","Social outward","Analytic","Routine","Manual"
"Task","0.019","-0.022*","0.045**","-0.062***","-0.061***"
"","[0.01]","[0.01]","[0.02]","[0.02]","[0.02]"
"","(-0.00,0.04)","(-0.04,-0.00)","(0.01,0.08)","(-0.09,-0.04)","(-0.09,-0.03)"

"","Social","Analytic","Routine","Manual"
"Men","-0.031","0.073***","-0.084***","-0.054**"
"","[0.02]","[0.02]","[0.02]","[0.02]"
"","(-0.06,0.00)","(0.04,0.11)","(-0.11,-0.06)","(-0.09,-0.02)"
"Women","0.001","0.019","-0.048***","-0.080***"
"","[0.01]","[0.02]","[0.02]","[0.02]"
"","(-0.02,0.02)","(-0.02,0.06)","(-0.08,-0.02)","(-0.11,-0.05)"
"p-value","0.028","0.001","0.002","0.123"
"","Social inward","Social outward","Analytic","Routine","Manual"
"Men","0.014","-0.040**","0.071***","-0.077***","-0.049**"
"","[0.02]","[0.02]","[0.02]","[0.02]","[0.02]"
"","(-0.01,0.04)","(-0.07,-0.01)","(0.04,0.11)","(-0.11,-0.05)","(-0.09,-0.01)"
"Women","0.029**","-0.012","0.010","-0.050***","-0.077***"
"","[0.01]","[0.01]","[0.02]","[0.02]","[0.02]"
"","(0.00,0.05)","(-0.03,0.01)","(-0.03,0.05)","(-0.08,-0.02)","(-0.10,-0.05)"
"p-value","0.273","0.049","0.000","0.038","0.085"
